GEO_ID,NAME
16000US0123032,"Edgewater CDP, Alabama"
16000US0123176,"Edwardsville town, Alabama"
16000US0123224,"Egypt CDP, Alabama"
16000US0123296,"Elba city, Alabama"
16000US0123320,"Elberta town, Alabama"
16000US0123344,"Eldridge town, Alabama"
16000US0123488,"Elkmont town, Alabama"
16000US0123656,"Elmore town, Alabama"
16000US0123872,"Emelle town, Alabama"
16000US0123880,"Emerald Mountain CDP, Alabama"
16000US0124184,"Enterprise city, Alabama"
16000US0124256,"Epes town, Alabama"
16000US0124280,"Equality CDP, Alabama"
16000US0124472,"Ethelsville town, Alabama"
16000US0124568,"Eufaula city, Alabama"
16000US0124616,"Eunola CDP, Alabama"
16000US0124664,"Eutaw town, Alabama"
16000US0124688,"Eva town, Alabama"
16000US0124808,"Evergreen city, Alabama"
16000US0124880,"Excel town, Alabama"
16000US0125120,"Fairfield city, Alabama"
16000US0125216,"Fairford CDP, Alabama"
16000US0125240,"Fairhope city, Alabama"
16000US0125384,"Fairview town, Alabama"
16000US0125648,"Falkville town, Alabama"
16000US0125816,"Faunsdale town, Alabama"
16000US0125840,"Fayette city, Alabama"
16000US0125864,"Fayetteville CDP, Alabama"
16000US0126152,"Fitzpatrick CDP, Alabama"
16000US0126200,"Five Points town, Alabama"
16000US0126824,"Flomaton town, Alabama"
16000US0126848,"Florala town, Alabama"
16000US0126896,"Florence city, Alabama"
16000US0126992,"Foley city, Alabama"
16000US0127088,"Forestdale CDP, Alabama"
16000US0127376,"Forkland town, Alabama"
16000US0127520,"Fort Deposit town, Alabama"
16000US0127616,"Fort Payne city, Alabama"
16000US0127640,"Fort Rucker CDP, Alabama"
16000US0128024,"Franklin town, Alabama"
16000US0128120,"Fredonia CDP, Alabama"
16000US0128312,"Frisco City town, Alabama"
16000US0128408,"Fruitdale CDP, Alabama"
16000US0128432,"Fruithurst town, Alabama"
16000US0128504,"Fulton town, Alabama"
16000US0128552,"Fultondale city, Alabama"
16000US0128672,"Fyffe town, Alabama"
16000US0128696,"Gadsden city, Alabama"
16000US0128768,"Gainesville town, Alabama"
16000US0128816,"Gallant CDP, Alabama"
16000US0128936,"Gantt town, Alabama"
16000US0129032,"Garden City town, Alabama"
16000US0129056,"Gardendale city, Alabama"
16000US0129296,"Gaylesville town, Alabama"
16000US0129392,"Geiger town, Alabama"
16000US0129464,"Geneva city, Alabama"
16000US0129560,"Georgiana town, Alabama"
16000US0129608,"Geraldine town, Alabama"
16000US0129704,"Gilbertown town, Alabama"
